1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	15	15
1	16	16
1	17	17
1	18	18
1	19	19
1	20	20
6	1	1
6	2	2
6	3	3
6	4	4
6	5	5
6	6	6
6	7	7
6	8	8
6	9	9
6	10	10
6	11	11
6	12	12
6	13	13
6	14	14
6	15	15
6	16	16
6	17	17
6	18	18
6	19	19
6	20	20
23	1	1
23	2	2
23	3	3
23	4	4
23	5	5
23	6	6
23	7	7
23	8	8
23	9	9
23	10	10
23	11	11
23	12	12
23	13	13
23	14	14
23	15	15
23	16	16
23	17	17
23	18	18
23	19	19
23	20	20
43	1	1
43	2	2
43	3	3
43	4	4
43	5	5
43	6	6
43	7	7
43	8	8
43	9	9
43	10	10
43	11	11
43	12	12
43	13	13
43	14	14
43	15	15
43	16	16
43	17	17
43	18	18
43	19	19
43	20	20
46	1	1
46	2	2
46	3	3
46	4	4
46	5	5
46	6	6
46	7	7
46	8	8
46	9	9
46	10	10
46	11	11
46	12	12
46	13	13
46	14	14
46	15	15
46	16	16
46	17	17
46	18	18
46	19	19
46	20	20
48	1	1
48	2	2
48	3	3
48	4	4
48	5	5
48	6	6
48	7	7
48	8	8
48	9	9
48	10	10
48	11	11
48	12	12
48	13	13
48	14	14
48	15	15
48	16	16
48	17	17
48	18	18
48	19	19
48	20	20
76	1	1
76	2	2
76	3	3
76	4	4
76	5	5
76	6	6
76	7	7
76	8	8
76	9	9
76	10	10
76	11	11
76	12	12
76	13	13
76	14	14
76	15	15
76	16	16
76	17	17
76	18	18
76	19	19
76	20	20
79	1	1
79	2	2
79	3	3
79	4	4
79	5	5
79	6	6
79	7	7
79	8	8
79	9	9
79	10	10
79	11	11
79	12	12
79	13	13
79	14	14
79	15	15
79	16	16
79	17	17
79	18	18
79	19	19
79	20	20
104	1	1
104	2	2
104	3	3
104	4	4
104	5	5
104	6	6
104	7	7
104	8	8
104	9	9
104	10	10
104	11	11
104	12	12
104	13	13
104	14	14
104	15	15
104	16	16
104	17	17
104	18	18
104	19	19
104	20	20
139	1	1
139	2	2
139	3	3
139	4	4
139	5	5
139	6	6
139	7	7
139	8	8
139	9	9
139	10	10
139	11	11
139	12	12
139	13	13
139	14	14
139	15	15
139	16	16
139	17	17
139	18	18
139	19	19
139	20	20
152	1	1
152	2	2
152	3	3
152	4	4
152	5	5
152	6	6
152	7	7
152	8	8
152	9	9
152	10	10
152	11	11
152	12	12
152	13	13
152	14	14
152	15	15
152	16	16
152	17	17
152	18	18
152	19	19
152	20	20
198	1	1
198	2	2
198	3	3
198	4	4
198	5	5
198	6	6
198	7	7
198	8	8
198	9	9
198	10	10
198	11	11
198	12	12
198	13	13
198	14	14
198	15	15
198	16	16
198	17	17
198	18	18
198	19	19
198	20	20
206	1	1
206	2	2
206	3	3
206	4	4
206	5	5
206	6	6
206	7	7
206	8	8
206	9	9
206	10	10
206	11	11
206	12	12
206	13	13
206	14	14
206	15	15
206	16	16
206	17	17
206	18	18
206	19	19
206	20	20
233	1	1
233	2	2
233	3	3
233	4	4
233	5	5
233	6	6
233	7	7
233	8	8
233	9	9
233	10	10
233	11	11
233	12	12
233	13	13
233	14	14
233	15	15
233	16	16
233	17	17
233	18	18
233	19	19
233	20	20
242	1	1
242	2	2
242	3	3
242	4	4
242	5	5
242	6	6
242	7	7
242	8	8
242	9	9
242	10	10
242	11	11
242	12	12
242	13	13
242	14	14
242	15	15
242	16	16
242	17	17
242	18	18
242	19	19
242	20	20
247	1	1
247	2	2
247	3	3
247	4	4
247	5	5
247	6	6
247	7	7
247	8	8
247	9	9
247	10	10
247	11	11
247	12	12
247	13	13
247	14	14
247	15	15
247	16	16
247	17	17
247	18	18
247	19	19
247	20	20
263	1	1
263	2	2
263	3	3
263	4	4
263	5	5
263	6	6
263	7	7
263	8	8
263	9	9
263	10	10
263	11	11
263	12	12
263	13	13
263	14	14
263	15	15
263	16	16
263	17	17
263	18	18
263	19	19
263	20	20
285	1	1
285	2	2
285	3	3
285	4	4
285	5	5
285	6	6
285	7	7
285	8	8
285	9	9
285	10	10
285	11	11
285	12	12
285	13	13
285	14	14
285	15	15
285	16	16
285	17	17
285	18	18
285	19	19
285	20	20
313	1	1
313	2	2
313	3	3
313	4	4
313	5	5
313	6	6
313	7	7
313	8	8
313	9	9
313	10	10
313	11	11
313	12	12
313	13	13
313	14	14
313	15	15
313	16	16
313	17	17
313	18	18
313	19	19
313	20	20
331	1	1
331	2	2
331	3	3
331	4	4
331	5	5
331	6	6
331	7	7
331	8	8
331	9	9
331	10	10
331	11	11
331	12	12
331	13	13
331	14	14
331	15	15
331	16	16
331	17	17
331	18	18
331	19	19
331	20	20
333	1	1
333	2	2
333	3	3
333	4	4
333	5	5
333	6	6
333	7	7
333	8	8
333	9	9
333	10	10
333	11	11
333	12	12
333	13	13
333	14	14
333	15	15
333	16	16
333	17	17
333	18	18
333	19	19
333	20	20
346	1	1
346	2	2
346	3	3
346	4	4
346	5	5
346	6	6
346	7	7
346	8	8
346	9	9
346	10	10
346	11	11
346	12	12
346	13	13
346	14	14
346	15	15
346	16	16
346	17	17
346	18	18
346	19	19
346	20	20
387	1	1
387	2	2
387	3	3
387	4	4
387	5	5
387	6	6
387	7	7
387	8	8
387	9	9
387	10	10
387	11	11
387	12	12
387	13	13
387	14	14
387	15	15
387	16	16
387	17	17
387	18	18
387	19	19
387	20	20
388	1	1
388	2	2
388	3	3
388	4	4
388	5	5
388	6	6
388	7	7
388	8	8
388	9	9
388	10	10
388	11	11
388	12	12
388	13	13
388	14	14
388	15	15
388	16	16
388	17	17
388	18	18
388	19	19
388	20	20
390	1	1
390	2	2
390	3	3
390	4	4
390	5	5
390	6	6
390	7	7
390	8	8
390	9	9
390	10	10
390	11	11
390	12	12
390	13	13
390	14	14
390	15	15
390	16	16
390	17	17
390	18	18
390	19	19
390	20	20
396	1	1
396	2	2
396	3	3
396	4	4
396	5	5
396	6	6
396	7	7
396	8	8
396	9	9
396	10	10
396	11	11
396	12	12
396	13	13
396	14	14
396	15	15
396	16	16
396	17	17
396	18	18
396	19	19
396	20	20
406	1	1
406	2	2
406	3	3
406	4	4
406	5	5
406	6	6
406	7	7
406	8	8
406	9	9
406	10	10
406	11	11
406	12	12
406	13	13
406	14	14
406	15	15
406	16	16
406	17	17
406	18	18
406	19	19
406	20	20
421	1	1
421	2	2
421	3	3
421	4	4
421	5	5
421	6	6
421	7	7
421	8	8
421	9	9
421	10	10
421	11	11
421	12	12
421	13	13
421	14	14
421	15	15
421	16	16
421	17	17
421	18	18
421	19	19
421	20	20
454	1	1
454	2	2
454	3	3
454	4	4
454	5	5
454	6	6
454	7	7
454	8	8
454	9	9
454	10	10
454	11	11
454	12	12
454	13	13
454	14	14
454	15	15
454	16	16
454	17	17
454	18	18
454	19	19
454	20	20
487	1	1
487	2	2
487	3	3
487	4	4
487	5	5
487	6	6
487	7	7
487	8	8
487	9	9
487	10	10
487	11	11
487	12	12
487	13	13
487	14	14
487	15	15
487	16	16
487	17	17
487	18	18
487	19	19
487	20	20
503	1	1
